drug_id,drug_name,atc_code
CID100003890,Latanoprost,S01EE01
CID100003899,Leflunomide,L04AA13
CID100003902,Letrozole,L02BG04
CID100003911,Leuprorelin,L02AE02
CID100003914,Levobunolol,S01ED03
CID100003915,Levocabastine,R01AC02
CID100003915,Levocabastine,S01GX02
CID100003916,Levomepromazine,N05AA02
CID100003918,Dextrorphan,
CID100003928,Lincomycin,J01FF02
CID100003929,Linezolid,J01XX08
CID100003937,Lisinopril,C09AA03
CID100003938,Lisuride,G02CB02
CID100003938,Lisuride,N02CA07
CID100003939,Lioh,
CID100003948,Lomefloxacin,J01MA07
CID100003948,Lomefloxacin,S01AX17
CID100003950,Lomustine,L01AD02
CID100003954,Loperamide,A07DA03
CID100003957,Loratadine,R06AX13
CID100003958,Lorazepam,N05BA06
CID100003961,Losartan,C09CA01
CID100003962,Lovastatin,C10AA02
CID100003964,Loxapine,N05AH01
CID100003998,Mafenide,D06BA03
CID100004004,Malathion,P03AX03
CID100004011,Maprotiline,N06AA21
CID100004030,Mebendazole,P02CA01
CID100004031,Mebeverine,A03AA04
CID100004032,Mecamylamine,C02BB01
CID100004033,Nitrogen,L01AA05
CID100004034,Monamine,R06AE05
CID100004036,Meclofenamate,M01AG04
CID100004036,Meclofenamate,M02AA18
CID100004042,Medroxyprogesterone,
CID100004043,Medrysone,S01BA08
CID100004044,Mefenamic,M01AG01
CID100004046,Mefloquine,P01BC02
CID100004048,Megestrol,
CID100004051,Meloxicam,M01AC06
CID100004053,Melphalan,L01AA03
CID100004054,Memantine,N06DX01
CID100004057,Cantril,A03AB12
CID100004058,Meperidine,N02AB02
CID100004060,Mephenytoin,N03AB04
CID100004062,Mepivacaine,N01BB03
CID100004064,Meprobamate,N05BC01
CID100004075,5-Asa,A07EC02
CID100004086,Metaproterenol,R03AB03
CID100004086,Metaproterenol,R03CB03
CID100004091,Metformin,A10BA02
CID100004095,Methadone,N07BC02
CID100004101,Methenamine,J01XX05
CID100004107,Methocarbamol,M03BA03
CID100004112,Methotrexate,L01BA01
CID100004112,Methotrexate,L04AX03
CID100004114,8-Mop,D05AD02
CID100004114,8-Mop,D05BA02
CID100004120,N-Methylscopolamine,A03BB03
CID100004120,N-Methylscopolamine,S01FA03
CID100004121,Methyclothiazide,C03AA08
CID100004138,Methyldopa,C02AB01
CID100004138,Methyldopa,C02AB02
